date, fed_min_wage
"October 24, 1938", 0.25
"October 24, 1939", 0.30
"October 24, 1945", 0.40
"January 25, 1950", 0.75
"March 1, 1956", 1.00
"September 3, 1961", 1.15
"September 3, 1963", 1.25
"February 1, 1967", 1.40
"February 1, 1968", 1.60
"May 1, 1974", 2.00
"January 1, 1975", 2.10
"January 1, 1976", 2.30
"January 1, 1978", 2.65
"January 1, 1979", 2.90
"January 1, 1980", 3.10
"January 1, 1981", 3.35
"April 1, 1990", 3.80
"April 1, 1991", 4.25
"October 1, 1996", 4.75
"September 1, 1997", 5.15
"July 24, 2007", 5.85
"July 24, 2008", 6.55
"July 24, 2009", 7.25